dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.410748,64.151725,0.007826,0.782609,39.130435,1956.521739,0.000000
0.020000,2.410748,64.151725,0.007826,0.000000,-39.130435,-3913.043478,0.000000
0.020000,2.410748,64.151725,0.007826,0.000000,0.000000,1956.521739,0.000000
0.020000,2.465236,64.151725,0.062314,2.724382,136.219092,6810.954599,0.000000
0.020000,2.590453,64.151725,0.187531,6.260870,176.824386,2030.264715,0.000000
0.020000,2.746975,64.151725,0.344053,7.826087,78.260870,-4928.175836,0.000000
0.020000,2.934801,64.151725,0.531879,9.391304,78.260870,-0.000000,0.000000
0.020000,3.153931,64.151725,0.751009,10.956522,78.260870,-0.000000,0.000000
0.020000,3.404366,64.151725,1.001444,12.521739,78.260870,0.000000,0.000000
0.020000,3.686105,64.151725,1.283183,14.086957,78.260870,-0.000000,0.000000
0.020000,3.999149,64.151725,1.596227,15.652174,78.260870,-0.000000,0.000000
0.020000,4.343497,64.151725,1.940575,17.217391,78.260870,0.000000,0.000000
0.020000,4.719149,64.151725,2.316227,18.782609,78.260870,-0.000000,0.000000
0.020000,5.126105,64.151725,2.723183,20.347826,78.260870,0.000000,0.000000
0.020000,5.564366,64.151725,3.161444,21.913043,78.260870,-0.000000,0.000000
0.020000,6.033931,64.151725,3.631009,23.478261,78.260870,0.000000,0.000000
0.020000,6.534801,64.151725,4.131879,25.043478,78.260870,-0.000000,0.000000
0.020000,7.066975,64.151725,4.664053,26.608696,78.260870,0.000000,0.000000
0.020000,7.630453,64.151725,5.227531,28.173913,78.260870,0.000000,0.000000
0.020000,8.225236,64.151725,5.822314,29.739130,78.260870,0.000000,0.000000
0.020000,8.851323,64.151725,6.448401,31.304348,78.260870,-0.000000,0.000000
0.020000,9.508714,64.151725,7.105792,32.869565,78.260870,-0.000000,0.000000
0.020000,10.197410,64.151725,7.794488,34.434783,78.260870,0.000000,0.000000
0.020000,10.917410,64.151725,8.514488,36.000000,78.260870,-0.000000,0.000000
0.020000,11.668714,64.151725,9.265792,37.565217,78.260870,0.000000,0.000000
0.020000,12.451323,64.151725,10.048401,39.130435,78.260870,-0.000000,0.000000
0.020000,13.265236,64.151725,10.862314,40.695652,78.260870,0.000000,0.000000
0.020000,14.110453,64.151725,11.707531,42.260870,78.260870,0.000000,0.000000
0.020000,14.986975,64.151725,12.584053,43.826087,78.260870,-0.000000,0.000000
0.020000,15.894801,64.151725,13.491879,45.391304,78.260870,0.000000,0.000000
0.020000,16.833931,64.151725,14.431009,46.956522,78.260870,-0.000000,0.000000
0.020000,17.804366,64.151725,15.401444,48.521739,78.260870,-0.000000,0.000000
0.020000,18.806105,64.151725,16.403183,50.086957,78.260870,0.000000,0.000000
0.020000,19.839149,64.151725,17.436227,51.652174,78.260870,-0.000000,0.000000
0.020000,20.903497,64.151725,18.500575,53.217391,78.260870,0.000000,0.000000
0.020000,21.999149,64.151725,19.596227,54.782609,78.260870,-0.000000,0.000000
0.020000,23.126105,64.151725,20.723183,56.347826,78.260870,-0.000000,0.000000
0.020000,24.284366,64.151725,21.881444,57.913043,78.260870,0.000000,0.000000
0.020000,25.473931,64.151725,23.071009,59.478261,78.260870,-0.000000,0.000000
0.020000,26.694801,64.151725,24.291879,61.043478,78.260870,-0.000000,0.000000
0.020000,27.946975,64.151725,25.544053,62.608696,78.260870,0.000000,0.000000
0.020000,29.230453,64.151725,26.827531,64.173913,78.260870,-0.000000,0.000000
0.020000,30.545236,64.151725,28.142314,65.739130,78.260870,0.000000,0.000000
0.020000,31.891323,64.151725,29.488401,67.304348,78.260870,-0.000000,0.000000
0.020000,33.268714,64.151725,30.865792,68.869565,78.260870,0.000000,0.000000
0.020000,34.677410,64.151725,32.274488,70.434783,78.260870,-0.000000,0.000000
0.020000,36.109583,64.151725,33.706662,71.608696,58.695652,-978.260870,0.000000
0.020000,37.549583,64.151725,35.146662,72.000000,19.565217,-1956.521739,0.000000
0.020000,38.989583,64.151725,36.586662,72.000000,0.000000,-978.260870,0.000000
0.020000,40.429583,64.151725,38.026662,72.000000,0.000000,0.000000,0.000000
0.020000,41.869583,64.151725,39.466662,72.000000,0.000000,0.000000,0.000000
0.020000,43.309583,64.151725,40.906662,72.000000,-0.000000,-0.000000,0.000000
0.020000,44.749583,64.151725,42.346662,72.000000,0.000000,0.000000,0.000000
0.020000,46.189583,64.151725,43.786662,72.000000,0.000000,-0.000000,0.000000
0.020000,47.629583,64.151725,45.226662,72.000000,0.000000,0.000000,0.000000
0.020000,49.069583,64.151725,46.666662,72.000000,0.000000,0.000000,0.000000
0.020000,50.509583,64.151725,48.106662,72.000000,-0.000000,-0.000000,0.000000
0.020000,51.949583,64.151725,49.546662,72.000000,0.000000,0.000000,0.000000
0.020000,53.389583,64.151725,50.986662,72.000000,0.000000,0.000000,0.000000
0.020000,54.829583,64.151725,52.426662,72.000000,0.000000,0.000000,0.000000
0.020000,56.269583,64.151725,53.866662,72.000000,-0.000000,-0.000000,0.000000
0.020000,57.709583,64.151725,55.306662,72.000000,0.000000,0.000000,0.000000
0.020000,59.149583,64.151725,56.746662,72.000000,0.000000,-0.000000,0.000000
0.020000,60.589583,64.151725,58.186662,72.000000,-0.000000,-0.000000,0.000000
0.020000,62.029583,64.151725,59.626662,72.000000,0.000000,0.000000,0.000000
0.020000,63.469583,64.151725,61.066662,72.000000,0.000000,-0.000000,0.000000
0.020000,64.909583,64.151725,62.506662,72.000000,0.000000,0.000000,0.000000
0.020000,66.349583,64.151725,63.946662,72.000000,0.000000,0.000000,0.000000
0.020000,67.789583,64.151725,65.386662,72.000000,-0.000000,-0.000000,0.000000
0.020000,69.229583,64.151725,66.826662,72.000000,0.000000,0.000000,0.000000
0.020000,70.669583,64.151725,68.266662,72.000000,-0.000000,-0.000000,0.000000
0.020000,72.109583,64.151725,69.706662,72.000000,0.000000,0.000000,0.000000
0.020000,73.549583,64.151725,71.146662,72.000000,0.000000,0.000000,0.000000
0.020000,74.989583,64.151725,72.586662,72.000000,-0.000000,-0.000000,0.000000
0.020000,76.429583,64.151725,74.026662,72.000000,0.000000,0.000000,0.000000
0.020000,77.869583,64.151725,75.466662,72.000000,0.000000,0.000000,0.000000
0.020000,79.309583,64.151725,76.906662,72.000000,0.000000,0.000000,0.000000
0.020000,80.749583,64.151725,78.346662,72.000000,0.000000,0.000000,0.000000
0.020000,82.189583,64.151725,79.786662,72.000000,-0.000000,-0.000000,0.000000
0.020000,83.629583,64.151725,81.226662,72.000000,0.000000,0.000000,0.000000
0.020000,85.069583,64.151725,82.666662,72.000000,-0.000000,-0.000000,0.000000
0.020000,86.509583,64.151725,84.106662,72.000000,0.000000,0.000000,0.000000
0.020000,87.949583,64.151725,85.546662,72.000000,0.000000,0.000000,0.000000
0.020000,89.389583,64.151725,86.986662,72.000000,0.000000,0.000000,0.000000
0.020000,90.829583,64.151725,88.426662,72.000000,0.000000,0.000000,0.000000
0.020000,92.269583,64.151725,89.866662,72.000000,0.000000,0.000000,0.000000
0.020000,93.709583,64.151725,91.306662,72.000000,0.000000,0.000000,0.000000
0.020000,95.149583,64.151725,92.746662,72.000000,-0.000000,-0.000000,0.000000
0.020000,96.589583,64.151725,94.186662,72.000000,0.000000,0.000000,0.000000
0.020000,98.029583,64.151725,95.626662,72.000000,-0.000000,-0.000000,0.000000
0.020000,99.469583,64.151725,97.066662,72.000000,-0.000000,0.000000,0.000000
0.020000,100.909583,64.151725,98.506662,72.000000,0.000000,0.000000,0.000000
0.020000,102.349583,64.151725,99.946662,72.000000,0.000000,-0.000000,0.000000
0.020000,103.789583,64.151725,101.386662,72.000000,0.000000,0.000000,0.000000
0.020000,105.229583,64.151725,102.826662,72.000000,0.000000,0.000000,0.000000
0.020000,106.669583,64.151725,104.266662,72.000000,-0.000000,-0.000000,0.000000
0.020000,108.109583,64.151725,105.706662,72.000000,0.000000,0.000000,0.000000
0.020000,109.549583,64.151725,107.146662,72.000000,0.000000,0.000000,0.000000
0.020000,110.982767,64.151725,108.579845,71.659158,-17.042097,-852.104852,0.000000
0.020000,112.394490,64.151725,109.991568,70.586170,-53.649411,-1830.365721,0.000000
0.020000,113.775918,64.151725,111.372996,69.071415,-75.737749,-1104.416887,0.000000
0.020000,115.126042,64.151725,112.723120,67.506197,-78.260870,-126.156018,0.000000
0.020000,116.444862,64.151725,114.041940,65.940980,-78.260870,0.000000,0.000000
0.020000,117.732377,64.151725,115.329455,64.375763,-78.260870,0.000000,0.000000
0.020000,118.988588,64.151725,116.585666,62.810545,-78.260870,0.000000,0.000000
0.020000,120.213495,64.151725,117.810573,61.245328,-78.260870,-0.000000,0.000000
0.020000,121.407097,64.151725,119.004175,59.680110,-78.260870,0.000000,0.000000
0.020000,122.569395,64.151725,120.166473,58.114893,-78.260870,-0.000000,0.000000
0.020000,123.700388,64.151725,121.297466,56.549676,-78.260870,0.000000,0.000000
0.020000,124.800077,64.151725,122.397155,54.984458,-78.260870,-0.000000,0.000000
0.020000,125.868462,64.151725,123.465540,53.419241,-78.260870,0.000000,0.000000
0.020000,126.905543,64.151725,124.502621,51.854024,-78.260870,0.000000,0.000000
0.020000,127.911319,64.151725,125.508397,50.288806,-78.260870,-0.000000,0.000000
0.020000,128.885791,64.151725,126.482869,48.723589,-78.260870,-0.000000,0.000000
0.020000,129.828958,64.151725,127.426036,47.158371,-78.260870,0.000000,0.000000
0.020000,130.740821,64.151725,128.337899,45.593154,-78.260870,-0.000000,0.000000
0.020000,131.621380,64.151725,129.218458,44.027937,-78.260870,-0.000000,0.000000
0.020000,132.470634,64.151725,130.067712,42.462719,-78.260870,0.000000,0.000000
0.020000,133.288584,64.151725,130.885662,40.897502,-78.260870,-0.000000,0.000000
0.020000,134.075230,64.151725,131.672308,39.332284,-78.260870,0.000000,0.000000
0.020000,134.830571,64.151725,132.427649,37.767067,-78.260870,-0.000000,0.000000
0.020000,135.554608,64.151725,133.151686,36.201850,-78.260870,0.000000,0.000000
0.020000,136.247341,64.151725,133.844419,34.636632,-78.260870,0.000000,0.000000
0.020000,136.908769,64.151725,134.505847,33.071415,-78.260870,0.000000,0.000000
0.020000,137.538893,64.151725,135.135971,31.506197,-78.260870,-0.000000,0.000000
0.020000,138.137713,64.151725,135.734791,29.940980,-78.260870,0.000000,0.000000
0.020000,138.705228,64.151725,136.302306,28.375763,-78.260870,0.000000,0.000000
0.020000,139.241439,64.151725,136.838517,26.810545,-78.260870,0.000000,0.000000
0.020000,139.746345,64.151725,137.343424,25.245328,-78.260870,-0.000000,0.000000
0.020000,140.219948,64.151725,137.817026,23.680110,-78.260870,0.000000,0.000000
0.020000,140.662246,64.151725,138.259324,22.114893,-78.260870,0.000000,0.000000
0.020000,141.073239,64.151725,138.670317,20.549676,-78.260870,-0.000000,0.000000
0.020000,141.452928,64.151725,139.050006,18.984458,-78.260870,0.000000,0.000000
0.020000,141.801313,64.151725,139.398391,17.419241,-78.260870,0.000000,0.000000
0.020000,142.118393,64.151725,139.715472,15.854024,-78.260870,0.000000,0.000000
0.020000,142.404170,64.151725,140.001248,14.288806,-78.260870,-0.000000,0.000000
0.020000,142.658641,64.151725,140.255719,12.723589,-78.260870,0.000000,0.000000
0.020000,142.881809,64.151725,140.478887,11.158371,-78.260870,0.000000,0.000000
0.020000,143.073672,64.151725,140.670750,9.593154,-78.260870,0.000000,0.000000
0.020000,143.234231,64.151725,140.831309,8.027937,-78.260870,-0.000000,0.000000
0.020000,143.363485,64.151725,140.960563,6.462719,-78.260870,0.000000,0.000000
0.020000,143.461435,64.151725,141.058513,4.897502,-78.260870,0.000000,0.000000
0.020000,143.528081,64.151725,141.125159,3.332284,-78.260870,0.000000,0.000000
0.020000,143.563422,64.151725,141.160500,1.767067,-78.260870,-0.000000,0.000000
0.020000,143.574276,64.151725,141.171354,0.542692,-61.218773,852.104852,0.000000
0.020000,143.575285,64.151725,141.172363,0.050462,-24.611458,1830.365721,0.000000
0.020000,143.575285,64.151725,141.172363,0.000000,-2.523120,1104.416887,0.000000
